year,month,month_day,date_mm_dd_yyyy,any_birds_found_on_route_shift,route_shift,route_name,building_name,building_face_direction,species,found_dead_alive,picture_url_google_photos_album
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Coordinated Science Laboratory_148,West,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPqN6P7F-5OTI8IfB5RwHLLPxNPulPHqyfK6GN3?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Coordinated Science Laboratory_148,West,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMHqE-U0C1JQa5tT0tJKZg7SCtsoM94wa6d2EWQ?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Coordinated Science Laboratory_148,West,Golden-winged Warbler_Vermivora chrysoptera,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMgA7-lDtHs7k_6UCgiziwb5afjIQmn89Ku0yF3?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Electrical and Computer Engineering_409,East,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipO8Cwx935IolgR7uDkYcqas2-JoYMM_t0ixpq_J?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,AM,South Quad,Temple Hoyne Buell Hall_339,East,Black-and-white Warbler_Mniotilta varia,Dead,https://photos.app.goo.gl/TKW1eehzwvBXSQuZ9
2019,9,2019-09-16,2019-09-16,Yes,PM,South Quad,Agricultural Engineering Sciences Building_8,West,Red-eyed Vireo_Vireo olivaceus,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOz2ZWMGDZNLZjK-ov0KNPb3d-md8n9oUBm_bQ?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,South Quad,Temple Hoyne Buell Hall_339,North,Ovenbird_Seiurus aurocapilla,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNaSMazStXuzP84VXE5vdAGydd6GCIKJdacD3I?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,No,AM,Main Quad,All Buildings of Route,NA,NA,NA,NA
2019,9,2019-09-17,2019-09-17,Yes,PM,Main Quad,Chemical & Life Sciences Laboratory_70,South,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOqfgd6iWipwzwjyYf9KruOHVS01AHHNgixMdSN?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR    https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPLnxAt2UWjyrfptZbWhzvuSH-Vy6oWUfOQJ0od?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,PM,Main Quad,Chemical & Life Sciences Laboratory_70,South,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMfAoJUldoD3xZqSg0gUtP6mP4b3LhKalVLtgHm?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
